[2025-04-12T07:22:46.824+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-12T07:22:46.830+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T07:22:45.997813+00:00 [queued]>
[2025-04-12T07:22:46.834+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T07:22:45.997813+00:00 [queued]>
[2025-04-12T07:22:46.834+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-12T07:22:46.841+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-12 07:22:45.997813+00:00
[2025-04-12T07:22:46.844+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2373) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-12T07:22:46.845+0000] {standard_task_runner.py:72} INFO - Started process 2376 to run task
[2025-04-12T07:22:46.846+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_etl_pipeline', 'scrape_attractions', 'manual__2025-04-12T07:22:45.997813+00:00', '--job-id', '151', '--raw', '--subdir', 'DAGS_FOLDER/trip_dag.py', '--cfg-path', '/tmp/tmpi0jqcx3v']
[2025-04-12T07:22:46.848+0000] {standard_task_runner.py:105} INFO - Job 151: Subtask scrape_attractions
[2025-04-12T07:22:46.865+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T07:22:45.997813+00:00 [running]> on host 0032dfa832cd
[2025-04-12T07:22:46.895+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='triphobo_etl_pipeline' AIRFLOW_CTX_TASK_ID='scrape_attractions' AIRFLOW_CTX_EXECUTION_DATE='2025-04-12T07:22:45.997813+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-12T07:22:45.997813+00:00'
[2025-04-12T07:22:46.896+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-12T07:22:47.173+0000] {things_to_do.py:92} INFO - Scraping city: New York City United States
[2025-04-12T07:22:47.175+0000] {things_to_do.py:96} INFO - Scraping page 1: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=1
[2025-04-12T07:22:54.061+0000] {things_to_do.py:99} INFO - Found 15 attraction links
[2025-04-12T07:22:54.061+0000] {things_to_do.py:103} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/empire-state-building
[2025-04-12T07:22:57.736+0000] {things_to_do.py:103} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/statue-of-liberty
[2025-04-12T07:23:01.196+0000] {things_to_do.py:103} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/rockefeller-center
[2025-04-12T07:23:04.965+0000] {things_to_do.py:103} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/times-square
[2025-04-12T07:23:08.499+0000] {things_to_do.py:103} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/the-metropolitan-museum-of-art
[2025-04-12T07:23:12.172+0000] {things_to_do.py:103} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/grand-central-terminal
[2025-04-12T07:23:15.662+0000] {things_to_do.py:103} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/american-museum-of-natural-history
[2025-04-12T07:23:19.189+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-modern-art
[2025-04-12T07:23:22.618+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/high-line
[2025-04-12T07:23:27.128+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/national-9-11-memorial-museum
[2025-04-12T07:23:30.561+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/intrepid-sea-air-and-space-museum
[2025-04-12T07:23:33.996+0000] {things_to_do.py:103} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/solomon-r-guggenheim-museum
[2025-04-12T07:23:37.593+0000] {things_to_do.py:103} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/radio-city-music-hall
[2025-04-12T07:23:41.310+0000] {things_to_do.py:103} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/fanaberie
[2025-04-12T07:23:44.760+0000] {things_to_do.py:103} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/united-nations-headquarters
[2025-04-12T07:23:48.354+0000] {things_to_do.py:96} INFO - Scraping page 2: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=2
