[2025-04-12T05:58:51.529+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/bryant-park
[2025-04-12T05:58:55.117+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-heights-promenade
[2025-04-12T05:58:58.907+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/65th-street
[2025-04-12T05:59:02.644+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/chrysler-building
[2025-04-12T05:59:06.300+0000] {things_to_do.py:103} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/chinatown
[2025-04-12T05:59:09.757+0000] {things_to_do.py:103} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/dead-rabbit
[2025-04-12T05:59:13.683+0000] {things_to_do.py:103} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-transit-museum
[2025-04-12T05:59:17.263+0000] {things_to_do.py:103} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/frick-collection
[2025-04-12T05:59:21.344+0000] {things_to_do.py:96} INFO - Scraping page 3: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=3
[2025-04-12T05:59:26.770+0000] {things_to_do.py:99} INFO - Found 15 attraction links
[2025-04-12T05:59:26.771+0000] {things_to_do.py:103} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/yankee-stadium
[2025-04-12T05:59:30.482+0000] {things_to_do.py:103} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/harlem
[2025-04-12T05:59:33.968+0000] {things_to_do.py:103} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/battery-park
[2025-04-12T05:59:37.877+0000] {things_to_do.py:103} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-mean-fiddler
[2025-04-12T05:59:41.268+0000] {things_to_do.py:103} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/st-paul-s-chapel
[2025-04-12T05:59:44.828+0000] {things_to_do.py:103} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/metropolitan-opera-house
[2025-04-12T05:59:49.550+0000] {things_to_do.py:103} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/st-patrick-s-cathedral
[2025-04-12T05:59:53.158+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/little-italy
[2025-04-12T05:59:56.615+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/central-park-zoo
[2025-04-12T06:00:00.142+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/lexington-avenue
[2025-04-12T06:00:03.636+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-botanical-garden
[2025-04-12T06:00:07.474+0000] {things_to_do.py:103} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-botanical-garden
[2025-04-12T06:00:10.936+0000] {things_to_do.py:103} INFO - Scraping place 13/15: https://www.triphobo.com/place/adda/51c828b2e705454c13000000
[2025-04-12T06:00:21.342+0000] {things_to_do.py:103} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-industries
[2025-04-12T06:00:24.833+0000] {things_to_do.py:103} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/bloomingdale-s
[2025-04-12T06:00:28.328+0000] {things_to_do.py:96} INFO - Scraping page 4: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=4
[2025-04-12T06:00:35.254+0000] {things_to_do.py:99} INFO - Found 15 attraction links
[2025-04-12T06:00:35.255+0000] {things_to_do.py:103} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/one-world-trade-center
[2025-04-12T06:00:38.698+0000] {things_to_do.py:103} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/carnegie-hall
[2025-04-12T06:00:42.222+0000] {things_to_do.py:103} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/ground-zero
[2025-04-12T06:00:45.880+0000] {things_to_do.py:103} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/narcissa
[2025-04-12T06:00:49.313+0000] {things_to_do.py:103} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/minton-s
[2025-04-12T06:00:52.945+0000] {things_to_do.py:103} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-the-moving-image
[2025-04-12T06:00:57.752+0000] {things_to_do.py:103} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/south-street-seaport
[2025-04-12T06:01:01.258+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/french-roast
[2025-04-12T06:01:04.781+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/little-owl
[2025-04-12T06:01:08.560+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/wall-street-new-york
[2025-04-12T06:01:12.124+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/century-21
