[2025-04-12T05:00:17.397+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-12T05:00:17.405+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:00:15.126362+00:00 [queued]>
[2025-04-12T05:00:17.410+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:00:15.126362+00:00 [queued]>
[2025-04-12T05:00:17.410+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-12T05:00:17.417+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-12 05:00:15.126362+00:00
[2025-04-12T05:00:17.421+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=301) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-12T05:00:17.424+0000] {standard_task_runner.py:72} INFO - Started process 302 to run task
[2025-04-12T05:00:17.422+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_etl_pipeline', 'scrape_attractions', 'manual__2025-04-12T05:00:15.126362+00:00', '--job-id', '114', '--raw', '--subdir', 'DAGS_FOLDER/trip_dag.py', '--cfg-path', '/tmp/tmp78rv3fhx']
[2025-04-12T05:00:17.424+0000] {standard_task_runner.py:105} INFO - Job 114: Subtask scrape_attractions
[2025-04-12T05:00:17.456+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:00:15.126362+00:00 [running]> on host 1dd90d5609a8
[2025-04-12T05:00:17.489+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='triphobo_etl_pipeline' AIRFLOW_CTX_TASK_ID='scrape_attractions' AIRFLOW_CTX_EXECUTION_DATE='2025-04-12T05:00:15.126362+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-12T05:00:15.126362+00:00'
[2025-04-12T05:00:17.489+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-12T05:00:17.841+0000] {things_to_do.py:91} INFO - Scraping city: New York City United States
[2025-04-12T05:00:17.841+0000] {things_to_do.py:95} INFO - Scraping page 1: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=1
[2025-04-12T05:00:28.079+0000] {things_to_do.py:98} INFO - Found 15 attraction links
[2025-04-12T05:00:28.080+0000] {things_to_do.py:102} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/empire-state-building
[2025-04-12T05:00:31.740+0000] {things_to_do.py:102} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/statue-of-liberty
[2025-04-12T05:00:35.288+0000] {things_to_do.py:102} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/rockefeller-center
[2025-04-12T05:00:38.683+0000] {things_to_do.py:102} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/times-square
[2025-04-12T05:00:42.246+0000] {things_to_do.py:102} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/the-metropolitan-museum-of-art
[2025-04-12T05:00:45.682+0000] {things_to_do.py:102} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/grand-central-terminal
[2025-04-12T05:00:49.120+0000] {things_to_do.py:102} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/american-museum-of-natural-history
[2025-04-12T05:01:00.751+0000] {things_to_do.py:102} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-modern-art
[2025-04-12T05:01:06.482+0000] {things_to_do.py:102} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/high-line
[2025-04-12T05:01:09.914+0000] {things_to_do.py:102} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/national-9-11-memorial-museum
[2025-04-12T05:01:13.515+0000] {things_to_do.py:102} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/intrepid-sea-air-and-space-museum
[2025-04-12T05:01:17.410+0000] {things_to_do.py:102} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/solomon-r-guggenheim-museum
[2025-04-12T05:01:20.924+0000] {things_to_do.py:102} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/radio-city-music-hall
[2025-04-12T05:01:24.648+0000] {things_to_do.py:102} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/fanaberie
[2025-04-12T05:01:28.049+0000] {things_to_do.py:102} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/united-nations-headquarters
[2025-04-12T05:01:31.449+0000] {things_to_do.py:95} INFO - Scraping page 2: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=2
[2025-04-12T05:01:36.575+0000] {things_to_do.py:98} INFO - Found 15 attraction links
[2025-04-12T05:01:36.576+0000] {things_to_do.py:102} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-public-library
[2025-04-12T05:01:41.248+0000] {things_to_do.py:102} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/national-museum-of-american-indian
[2025-04-12T05:01:46.461+0000] {things_to_do.py:102} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/children-s-museum-of-manhattan
[2025-04-12T05:01:49.916+0000] {things_to_do.py:102} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-morgan-library-and-museum
[2025-04-12T05:01:54.429+0000] {things_to_do.py:102} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/cathedral-church-of-saint-john-the-divine
[2025-04-12T05:01:57.808+0000] {things_to_do.py:102} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/gramercy-tavern
[2025-04-12T05:02:01.271+0000] {things_to_do.py:102} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-bridge
[2025-04-12T05:02:04.640+0000] {things_to_do.py:102} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/bryant-park
[2025-04-12T05:02:08.869+0000] {things_to_do.py:102} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-heights-promenade
[2025-04-12T05:02:12.256+0000] {things_to_do.py:102} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/65th-street
[2025-04-12T05:02:15.723+0000] {things_to_do.py:102} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/chrysler-building
[2025-04-12T05:02:20.774+0000] {things_to_do.py:102} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/chinatown
[2025-04-12T05:02:25.308+0000] {things_to_do.py:102} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/dead-rabbit
[2025-04-12T05:02:29.800+0000] {things_to_do.py:102} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-transit-museum
[2025-04-12T05:02:33.432+0000] {things_to_do.py:102} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/frick-collection
[2025-04-12T05:02:38.471+0000] {things_to_do.py:95} INFO - Scraping page 3: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=3
[2025-04-12T05:02:43.134+0000] {things_to_do.py:98} INFO - Found 15 attraction links
[2025-04-12T05:02:43.134+0000] {things_to_do.py:102} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/yankee-stadium
[2025-04-12T05:02:46.495+0000] {things_to_do.py:102} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/harlem
[2025-04-12T05:02:49.990+0000] {things_to_do.py:102} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/battery-park
[2025-04-12T05:02:53.360+0000] {things_to_do.py:102} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-mean-fiddler
