[2025-04-12T05:27:31.158+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-12T05:27:31.165+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:27:28.527778+00:00 [queued]>
[2025-04-12T05:27:31.169+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:27:28.527778+00:00 [queued]>
[2025-04-12T05:27:31.169+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-12T05:27:31.174+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-12 05:27:28.527778+00:00
[2025-04-12T05:27:31.179+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=91) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-12T05:27:31.182+0000] {standard_task_runner.py:72} INFO - Started process 92 to run task
[2025-04-12T05:27:31.180+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_etl_pipeline', 'scrape_attractions', 'manual__2025-04-12T05:27:28.527778+00:00', '--job-id', '119', '--raw', '--subdir', 'DAGS_FOLDER/trip_dag.py', '--cfg-path', '/tmp/tmp5izsz_s2']
[2025-04-12T05:27:31.182+0000] {standard_task_runner.py:105} INFO - Job 119: Subtask scrape_attractions
[2025-04-12T05:27:31.203+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_etl_pipeline.scrape_attractions manual__2025-04-12T05:27:28.527778+00:00 [running]> on host 0032dfa832cd
[2025-04-12T05:27:31.237+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='triphobo_etl_pipeline' AIRFLOW_CTX_TASK_ID='scrape_attractions' AIRFLOW_CTX_EXECUTION_DATE='2025-04-12T05:27:28.527778+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-12T05:27:28.527778+00:00'
[2025-04-12T05:27:31.238+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-12T05:27:31.575+0000] {things_to_do.py:92} INFO - Scraping city: New York City United States
[2025-04-12T05:27:31.578+0000] {things_to_do.py:96} INFO - Scraping page 1: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=1
[2025-04-12T05:27:39.177+0000] {things_to_do.py:99} INFO - Found 15 attraction links
[2025-04-12T05:27:39.177+0000] {things_to_do.py:103} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/empire-state-building
[2025-04-12T05:27:42.781+0000] {things_to_do.py:103} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/statue-of-liberty
[2025-04-12T05:27:46.325+0000] {things_to_do.py:103} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/rockefeller-center
[2025-04-12T05:27:49.838+0000] {things_to_do.py:103} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/times-square
[2025-04-12T05:27:53.565+0000] {things_to_do.py:103} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/the-metropolitan-museum-of-art
[2025-04-12T05:27:57.259+0000] {things_to_do.py:103} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/grand-central-terminal
[2025-04-12T05:28:00.735+0000] {things_to_do.py:103} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/american-museum-of-natural-history
[2025-04-12T05:28:04.144+0000] {things_to_do.py:103} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-modern-art
[2025-04-12T05:28:07.642+0000] {things_to_do.py:103} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/high-line
[2025-04-12T05:28:11.082+0000] {things_to_do.py:103} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/national-9-11-memorial-museum
[2025-04-12T05:28:14.828+0000] {things_to_do.py:103} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/intrepid-sea-air-and-space-museum
[2025-04-12T05:28:18.713+0000] {things_to_do.py:103} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/solomon-r-guggenheim-museum
[2025-04-12T05:28:22.527+0000] {things_to_do.py:103} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/radio-city-music-hall
[2025-04-12T05:28:26.105+0000] {things_to_do.py:103} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/fanaberie
[2025-04-12T05:28:29.614+0000] {things_to_do.py:103} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/united-nations-headquarters
[2025-04-12T05:28:33.461+0000] {things_to_do.py:96} INFO - Scraping page 2: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=2
[2025-04-12T05:28:38.849+0000] {things_to_do.py:99} INFO - Found 15 attraction links
[2025-04-12T05:28:38.850+0000] {things_to_do.py:103} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-public-library
[2025-04-12T05:28:42.463+0000] {things_to_do.py:103} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/national-museum-of-american-indian
[2025-04-12T05:28:46.223+0000] {things_to_do.py:103} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/children-s-museum-of-manhattan
