[2025-04-18T04:05:13.474+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-18T04:05:13.479+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: triphobo_attractions_pipeline.scrape_attractions manual__2025-04-18T04:05:12.341102+00:00 [queued]>
[2025-04-18T04:05:13.482+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: triphobo_attractions_pipeline.scrape_attractions manual__2025-04-18T04:05:12.341102+00:00 [queued]>
[2025-04-18T04:05:13.482+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-04-18T04:05:13.486+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): scrape_attractions> on 2025-04-18 04:05:12.341102+00:00
[2025-04-18T04:05:13.490+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=250) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-18T04:05:13.491+0000] {standard_task_runner.py:72} INFO - Started process 251 to run task
[2025-04-18T04:05:13.491+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'triphobo_attractions_pipeline', 'scrape_attractions', 'manual__2025-04-18T04:05:12.341102+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/attractions_dag.py', '--cfg-path', '/tmp/tmpqtr0x_oh']
[2025-04-18T04:05:13.493+0000] {standard_task_runner.py:105} INFO - Job 24: Subtask scrape_attractions
[2025-04-18T04:05:13.519+0000] {task_command.py:467} INFO - Running <TaskInstance: triphobo_attractions_pipeline.scrape_attractions manual__2025-04-18T04:05:12.341102+00:00 [running]> on host f6e0577a83d0
[2025-04-18T04:05:13.550+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='triphobo_attractions_pipeline' AIRFLOW_CTX_TASK_ID='scrape_attractions' AIRFLOW_CTX_EXECUTION_DATE='2025-04-18T04:05:12.341102+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-18T04:05:12.341102+00:00'
[2025-04-18T04:05:13.550+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-04-18T04:05:13.824+0000] {attractions_dag.py:179} INFO - Scraping city: New York City United States
[2025-04-18T04:05:13.825+0000] {attractions_dag.py:183} INFO - Scraping page 1: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=1
[2025-04-18T04:05:20.255+0000] {attractions_dag.py:186} INFO - Found 15 attraction links
[2025-04-18T04:05:20.255+0000] {attractions_dag.py:195} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/empire-state-building
[2025-04-18T04:05:24.027+0000] {attractions_dag.py:195} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/statue-of-liberty
[2025-04-18T04:05:27.671+0000] {attractions_dag.py:195} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/rockefeller-center
[2025-04-18T04:05:31.451+0000] {attractions_dag.py:195} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/times-square
[2025-04-18T04:05:35.080+0000] {attractions_dag.py:195} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/the-metropolitan-museum-of-art
[2025-04-18T04:05:38.718+0000] {attractions_dag.py:195} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/grand-central-terminal
[2025-04-18T04:05:42.611+0000] {attractions_dag.py:195} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/american-museum-of-natural-history
[2025-04-18T04:05:46.424+0000] {attractions_dag.py:195} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-modern-art
[2025-04-18T04:05:50.134+0000] {attractions_dag.py:195} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/high-line
[2025-04-18T04:05:53.841+0000] {attractions_dag.py:195} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/national-9-11-memorial-museum
[2025-04-18T04:05:57.515+0000] {attractions_dag.py:195} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/intrepid-sea-air-and-space-museum
[2025-04-18T04:06:01.293+0000] {attractions_dag.py:195} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/solomon-r-guggenheim-museum
[2025-04-18T04:06:05.116+0000] {attractions_dag.py:195} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/radio-city-music-hall
[2025-04-18T04:06:08.826+0000] {attractions_dag.py:195} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/fanaberie
[2025-04-18T04:06:12.551+0000] {attractions_dag.py:195} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/united-nations-headquarters
[2025-04-18T04:06:16.321+0000] {attractions_dag.py:183} INFO - Scraping page 2: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=2
[2025-04-18T04:06:22.367+0000] {attractions_dag.py:186} INFO - Found 15 attraction links
[2025-04-18T04:06:22.367+0000] {attractions_dag.py:195} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-public-library
[2025-04-18T04:06:26.082+0000] {attractions_dag.py:195} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/national-museum-of-american-indian
[2025-04-18T04:06:30.048+0000] {attractions_dag.py:195} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/children-s-museum-of-manhattan
[2025-04-18T04:06:34.075+0000] {attractions_dag.py:195} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-morgan-library-and-museum
[2025-04-18T04:06:37.911+0000] {attractions_dag.py:195} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/cathedral-church-of-saint-john-the-divine
[2025-04-18T04:06:41.759+0000] {attractions_dag.py:195} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/gramercy-tavern
[2025-04-18T04:06:45.448+0000] {attractions_dag.py:195} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-bridge
[2025-04-18T04:06:49.241+0000] {attractions_dag.py:195} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/bryant-park
[2025-04-18T04:06:53.044+0000] {attractions_dag.py:195} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-heights-promenade
[2025-04-18T04:06:56.821+0000] {attractions_dag.py:195} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/65th-street
[2025-04-18T04:07:00.611+0000] {attractions_dag.py:195} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/chrysler-building
[2025-04-18T04:07:04.372+0000] {attractions_dag.py:195} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/chinatown
[2025-04-18T04:07:08.054+0000] {attractions_dag.py:195} INFO - Scraping place 13/15: https://www.triphobo.com/places/new-york-city-united-states/dead-rabbit
[2025-04-18T04:07:11.708+0000] {attractions_dag.py:195} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-transit-museum
[2025-04-18T04:07:15.470+0000] {attractions_dag.py:195} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/frick-collection
[2025-04-18T04:07:19.142+0000] {attractions_dag.py:183} INFO - Scraping page 3: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=3
[2025-04-18T04:07:28.006+0000] {attractions_dag.py:186} INFO - Found 15 attraction links
[2025-04-18T04:07:28.007+0000] {attractions_dag.py:195} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/yankee-stadium
[2025-04-18T04:07:31.676+0000] {attractions_dag.py:195} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/harlem
[2025-04-18T04:07:35.404+0000] {attractions_dag.py:195} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/battery-park
[2025-04-18T04:07:39.085+0000] {attractions_dag.py:195} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/the-mean-fiddler
[2025-04-18T04:07:42.785+0000] {attractions_dag.py:195} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/st-paul-s-chapel
[2025-04-18T04:07:46.735+0000] {attractions_dag.py:195} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/metropolitan-opera-house
[2025-04-18T04:07:50.431+0000] {attractions_dag.py:195} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/st-patrick-s-cathedral
[2025-04-18T04:07:54.149+0000] {attractions_dag.py:195} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/little-italy
[2025-04-18T04:07:57.923+0000] {attractions_dag.py:195} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/central-park-zoo
[2025-04-18T04:08:01.671+0000] {attractions_dag.py:195} INFO - Scraping place 10/15: https://www.triphobo.com/places/new-york-city-united-states/lexington-avenue
[2025-04-18T04:08:05.315+0000] {attractions_dag.py:195} INFO - Scraping place 11/15: https://www.triphobo.com/places/new-york-city-united-states/new-york-botanical-garden
[2025-04-18T04:08:08.966+0000] {attractions_dag.py:195} INFO - Scraping place 12/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-botanical-garden
[2025-04-18T04:08:12.615+0000] {attractions_dag.py:195} INFO - Scraping place 13/15: https://www.triphobo.com/place/adda/51c828b2e705454c13000000
[2025-04-18T04:08:18.486+0000] {attractions_dag.py:195} INFO - Scraping place 14/15: https://www.triphobo.com/places/new-york-city-united-states/brooklyn-industries
[2025-04-18T04:08:22.204+0000] {attractions_dag.py:195} INFO - Scraping place 15/15: https://www.triphobo.com/places/new-york-city-united-states/bloomingdale-s
[2025-04-18T04:08:26.037+0000] {attractions_dag.py:183} INFO - Scraping page 4: https://www.triphobo.com/places/new-york-city-united-states/things-to-do?page=4
[2025-04-18T04:08:33.118+0000] {attractions_dag.py:186} INFO - Found 15 attraction links
[2025-04-18T04:08:33.119+0000] {attractions_dag.py:195} INFO - Scraping place 1/15: https://www.triphobo.com/places/new-york-city-united-states/one-world-trade-center
[2025-04-18T04:08:36.747+0000] {attractions_dag.py:195} INFO - Scraping place 2/15: https://www.triphobo.com/places/new-york-city-united-states/carnegie-hall
[2025-04-18T04:08:40.486+0000] {attractions_dag.py:195} INFO - Scraping place 3/15: https://www.triphobo.com/places/new-york-city-united-states/ground-zero
[2025-04-18T04:08:44.415+0000] {attractions_dag.py:195} INFO - Scraping place 4/15: https://www.triphobo.com/places/new-york-city-united-states/narcissa
[2025-04-18T04:08:48.172+0000] {attractions_dag.py:195} INFO - Scraping place 5/15: https://www.triphobo.com/places/new-york-city-united-states/minton-s
[2025-04-18T04:08:52.145+0000] {attractions_dag.py:195} INFO - Scraping place 6/15: https://www.triphobo.com/places/new-york-city-united-states/museum-of-the-moving-image
[2025-04-18T04:08:55.802+0000] {attractions_dag.py:195} INFO - Scraping place 7/15: https://www.triphobo.com/places/new-york-city-united-states/south-street-seaport
[2025-04-18T04:08:59.512+0000] {attractions_dag.py:195} INFO - Scraping place 8/15: https://www.triphobo.com/places/new-york-city-united-states/french-roast
[2025-04-18T04:09:03.192+0000] {attractions_dag.py:195} INFO - Scraping place 9/15: https://www.triphobo.com/places/new-york-city-united-states/little-owl
